year,month,species,landings_n,rse
2014,3,Spanish Mackerel,2096,107
2014,4,Spanish Mackerel,37,121
2014,5,Spanish Mackerel,404,51
2014,6,Spanish Mackerel,3013,36
2014,7,Spanish Mackerel,3480,28
2014,8,Spanish Mackerel,561,42
2014,9,Spanish Mackerel,305,70
2014,10,Spanish Mackerel,1578,72
2014,11,Spanish Mackerel,65,105
2015,3,Spanish Mackerel,469,100
2015,4,Spanish Mackerel,633,74
2015,5,Spanish Mackerel,202,64
2015,6,Spanish Mackerel,1053,37
2015,7,Spanish Mackerel,714,40
2015,8,Spanish Mackerel,2358,53
2015,9,Spanish Mackerel,343,81
2015,10,Spanish Mackerel,4489,46
2015,11,Spanish Mackerel,32,84
2016,3,Spanish Mackerel,245,90
2016,4,Spanish Mackerel,701,89
2016,5,Spanish Mackerel,4854,44
2016,6,Spanish Mackerel,3252,27
2016,7,Spanish Mackerel,2757,32
2016,8,Spanish Mackerel,1832,69
2016,9,Spanish Mackerel,451,34
2016,10,Spanish Mackerel,96,56
2016,11,Spanish Mackerel,1740,56
2017,2,Spanish Mackerel,351,81
2017,3,Spanish Mackerel,35,61
2017,4,Spanish Mackerel,116,64
2017,5,Spanish Mackerel,2107,26
2017,6,Spanish Mackerel,760,31
2017,7,Spanish Mackerel,1106,45
2017,8,Spanish Mackerel,2911,47
2017,9,Spanish Mackerel,718,50
2017,10,Spanish Mackerel,505,64
2017,11,Spanish Mackerel,160,74
2018,2,Spanish Mackerel,246,77
2018,4,Spanish Mackerel,55,96
2018,5,Spanish Mackerel,2856,57
2018,6,Spanish Mackerel,648,39
2018,7,Spanish Mackerel,2292,30
2018,8,Spanish Mackerel,2126,43
2018,9,Spanish Mackerel,496,45
2018,10,Spanish Mackerel,463,70
2018,11,Spanish Mackerel,960,89
