Estimate Status,Year,Wave,Common Name,Harvest (A+B1) Total Weight (kg),PSE,Landings (no.) without Size Information
FINAL,1990,MAY/JUNE,RED PORGY,13290,99,0
FINAL,1990,JULY/AUGUST,RED PORGY,2174,80.7,0
FINAL,1990,SEPTEMBER/OCTOBER,RED PORGY,159174,55.8,0
FINAL,1990,NOVEMBER/DECEMBER,RED PORGY,1526,73.9,0
FINAL,1991,JANUARY/FEBRUARY,RED PORGY,252,95.9,0
FINAL,1991,MARCH/APRIL,RED PORGY,43878,70,0
FINAL,1991,JULY/AUGUST,RED PORGY,6357,58.3,0
FINAL,1991,SEPTEMBER/OCTOBER,RED PORGY,14085,49.4,0
FINAL,1991,NOVEMBER/DECEMBER,RED PORGY,219955,66.5,0
FINAL,1992,MARCH/APRIL,RED PORGY,24375,63.2,0
FINAL,1992,MAY/JUNE,RED PORGY,34631,68.9,0
FINAL,1992,JULY/AUGUST,RED PORGY,1090,103.8,0
FINAL,1992,SEPTEMBER/OCTOBER,RED PORGY,2410,58.7,0
FINAL,1993,MARCH/APRIL,RED PORGY,487,105.9,0
FINAL,1993,MAY/JUNE,RED PORGY,22138,55.4,0
FINAL,1993,JULY/AUGUST,RED PORGY,13320,52.9,0
FINAL,1993,SEPTEMBER/OCTOBER,RED PORGY,5616,47.6,0
FINAL,1993,NOVEMBER/DECEMBER,RED PORGY,1870,70.7,0
FINAL,1994,MARCH/APRIL,RED PORGY,24075,51.9,0
FINAL,1994,MAY/JUNE,RED PORGY,6337,66.8,0
FINAL,1994,JULY/AUGUST,RED PORGY,23596,67.4,0
FINAL,1994,SEPTEMBER/OCTOBER,RED PORGY,561,78.5,0
FINAL,1995,MARCH/APRIL,RED PORGY,20505,100.4,0
FINAL,1995,MAY/JUNE,RED PORGY,73423,42.2,0
FINAL,1995,JULY/AUGUST,RED PORGY,6082,68.4,0
FINAL,1995,SEPTEMBER/OCTOBER,RED PORGY,23753,92.3,0
FINAL,1996,JANUARY/FEBRUARY,RED PORGY,23925,65.7,0
FINAL,1996,MARCH/APRIL,RED PORGY,13618,71.3,0
FINAL,1996,MAY/JUNE,RED PORGY,2584,58.1,0
FINAL,1996,JULY/AUGUST,RED PORGY,22814,69.1,0
FINAL,1996,SEPTEMBER/OCTOBER,RED PORGY,16950,58.5,0
FINAL,1996,NOVEMBER/DECEMBER,RED PORGY,12693,70,0
FINAL,1997,MARCH/APRIL,RED PORGY,3278,69.8,0
FINAL,1997,MAY/JUNE,RED PORGY,14142,69.2,0
FINAL,1997,JULY/AUGUST,RED PORGY,8067,65,0
FINAL,1997,SEPTEMBER/OCTOBER,RED PORGY,12905,39.6,0
FINAL,1997,NOVEMBER/DECEMBER,RED PORGY,12590,86,0
FINAL,1998,JANUARY/FEBRUARY,RED PORGY,1124,47.7,0
FINAL,1998,MARCH/APRIL,RED PORGY,7694,45.7,0
FINAL,1998,MAY/JUNE,RED PORGY,14570,32.1,0
FINAL,1998,JULY/AUGUST,RED PORGY,10873,43.8,0
FINAL,1998,SEPTEMBER/OCTOBER,RED PORGY,15134,73.1,0
FINAL,1998,NOVEMBER/DECEMBER,RED PORGY,22931,98.2,0
FINAL,1999,JANUARY/FEBRUARY,RED PORGY,4118,68,0
FINAL,1999,MARCH/APRIL,RED PORGY,10368,39.6,0
FINAL,1999,MAY/JUNE,RED PORGY,6328,42.6,0
FINAL,1999,JULY/AUGUST,RED PORGY,8669,37.5,0
FINAL,1999,SEPTEMBER/OCTOBER,RED PORGY,2630,31.6,0
FINAL,1999,NOVEMBER/DECEMBER,RED PORGY,2699,67.9,0
FINAL,2000,JANUARY/FEBRUARY,RED PORGY,14376,99.4,0
FINAL,2000,MARCH/APRIL,RED PORGY,2978,33.1,0
FINAL,2000,MAY/JUNE,RED PORGY,5285,65.3,0
FINAL,2000,JULY/AUGUST,RED PORGY,10701,58.5,0
FINAL,2000,SEPTEMBER/OCTOBER,RED PORGY,2583,29,0
FINAL,2000,NOVEMBER/DECEMBER,RED PORGY,1242,50.2,0
FINAL,2001,JANUARY/FEBRUARY,RED PORGY,1160,84,0
FINAL,2001,MARCH/APRIL,RED PORGY,32844,57.9,0
FINAL,2001,MAY/JUNE,RED PORGY,12638,45.2,0
FINAL,2001,JULY/AUGUST,RED PORGY,5338,33.8,0
FINAL,2001,SEPTEMBER/OCTOBER,RED PORGY,5049,41.6,0
FINAL,2001,NOVEMBER/DECEMBER,RED PORGY,2166,59.4,0
FINAL,2002,JANUARY/FEBRUARY,RED PORGY,12898,90.1,0
FINAL,2002,MARCH/APRIL,RED PORGY,12671,46.2,0
FINAL,2002,MAY/JUNE,RED PORGY,2973,29.7,0
FINAL,2002,JULY/AUGUST,RED PORGY,7277,43.2,0
FINAL,2002,SEPTEMBER/OCTOBER,RED PORGY,1261,42.5,0
FINAL,2002,NOVEMBER/DECEMBER,RED PORGY,37967,70.5,0
FINAL,2003,JANUARY/FEBRUARY,RED PORGY,9555,85.2,0
FINAL,2003,MARCH/APRIL,RED PORGY,3948,33.5,0
FINAL,2003,MAY/JUNE,RED PORGY,6866,46.6,0
FINAL,2003,JULY/AUGUST,RED PORGY,31790,51.9,0
FINAL,2003,SEPTEMBER/OCTOBER,RED PORGY,3622,25,0
FINAL,2003,NOVEMBER/DECEMBER,RED PORGY,1105,36.2,0
FINAL,2004,JANUARY/FEBRUARY,RED PORGY,7304,53.5,0
FINAL,2004,MARCH/APRIL,RED PORGY,4555,19.7,0
FINAL,2004,MAY/JUNE,RED PORGY,8666,32.4,0
FINAL,2004,JULY/AUGUST,RED PORGY,46821,37.7,0
FINAL,2004,SEPTEMBER/OCTOBER,RED PORGY,6140,56.1,0
FINAL,2004,NOVEMBER/DECEMBER,RED PORGY,322,46.7,0
FINAL,2005,JANUARY/FEBRUARY,RED PORGY,961,38.7,0
FINAL,2005,MARCH/APRIL,RED PORGY,20032,37.9,0
FINAL,2005,MAY/JUNE,RED PORGY,19975,45.1,0
FINAL,2005,JULY/AUGUST,RED PORGY,5804,29.8,0
FINAL,2005,SEPTEMBER/OCTOBER,RED PORGY,13444,50,0
FINAL,2005,NOVEMBER/DECEMBER,RED PORGY,641,33.9,0
FINAL,2006,JANUARY/FEBRUARY,RED PORGY,2405,60.8,0
FINAL,2006,MARCH/APRIL,RED PORGY,21476,79.6,0
FINAL,2006,MAY/JUNE,RED PORGY,28443,36.2,0
FINAL,2006,JULY/AUGUST,RED PORGY,8541,36.6,0
FINAL,2006,SEPTEMBER/OCTOBER,RED PORGY,12629,37.3,0
FINAL,2006,NOVEMBER/DECEMBER,RED PORGY,6367,52.5,0
FINAL,2007,JANUARY/FEBRUARY,RED PORGY,5236,47.4,0
FINAL,2007,MARCH/APRIL,RED PORGY,57138,64.1,0
FINAL,2007,MAY/JUNE,RED PORGY,16518,28.8,0
FINAL,2007,JULY/AUGUST,RED PORGY,38670,70.9,0
FINAL,2007,SEPTEMBER/OCTOBER,RED PORGY,20351,63,0
FINAL,2007,NOVEMBER/DECEMBER,RED PORGY,493,60.8,0
FINAL,2008,JANUARY/FEBRUARY,RED PORGY,4771,45.2,0
FINAL,2008,MARCH/APRIL,RED PORGY,41675,74.8,0
FINAL,2008,MAY/JUNE,RED PORGY,16192,28.6,0
FINAL,2008,JULY/AUGUST,RED PORGY,7185,35.4,0
FINAL,2008,SEPTEMBER/OCTOBER,RED PORGY,2681,33.3,0
FINAL,2008,NOVEMBER/DECEMBER,RED PORGY,11629,79.5,0
FINAL,2009,JANUARY/FEBRUARY,RED PORGY,1713,29.4,0
FINAL,2009,MARCH/APRIL,RED PORGY,5150,33.5,0
FINAL,2009,MAY/JUNE,RED PORGY,16173,33.4,0
FINAL,2009,JULY/AUGUST,RED PORGY,10443,44.8,0
FINAL,2009,SEPTEMBER/OCTOBER,RED PORGY,7217,34.6,0
FINAL,2009,NOVEMBER/DECEMBER,RED PORGY,150,61.5,0
FINAL,2010,JANUARY/FEBRUARY,RED PORGY,2227,62.2,0
FINAL,2010,MARCH/APRIL,RED PORGY,12814,20.9,0
FINAL,2010,MAY/JUNE,RED PORGY,19986,40.3,0
FINAL,2010,JULY/AUGUST,RED PORGY,6834,28.1,0
FINAL,2010,SEPTEMBER/OCTOBER,RED PORGY,25958,43,0
FINAL,2010,NOVEMBER/DECEMBER,RED PORGY,52648,68.2,0
FINAL,2011,JANUARY/FEBRUARY,RED PORGY,1374,22.8,0
FINAL,2011,MARCH/APRIL,RED PORGY,18456,26.1,0
FINAL,2011,MAY/JUNE,RED PORGY,65629,39.8,0
FINAL,2011,JULY/AUGUST,RED PORGY,46166,27.3,0
FINAL,2011,SEPTEMBER/OCTOBER,RED PORGY,29349,67.8,0
FINAL,2011,NOVEMBER/DECEMBER,RED PORGY,6483,46.9,0
FINAL,2012,JANUARY/FEBRUARY,RED PORGY,13990,70.5,0
FINAL,2012,MARCH/APRIL,RED PORGY,39911,42.9,0
FINAL,2012,MAY/JUNE,RED PORGY,50909,35,0
FINAL,2012,JULY/AUGUST,RED PORGY,32278,20.7,0
FINAL,2012,SEPTEMBER/OCTOBER,RED PORGY,15222,28.5,0
FINAL,2012,NOVEMBER/DECEMBER,RED PORGY,20444,63,0
FINAL,2013,JANUARY/FEBRUARY,RED PORGY,13298,78.3,0
FINAL,2013,MARCH/APRIL,RED PORGY,16632,18.1,0
FINAL,2013,MAY/JUNE,RED PORGY,87660,47,0
FINAL,2013,JULY/AUGUST,RED PORGY,79572,25.8,0
FINAL,2013,SEPTEMBER/OCTOBER,RED PORGY,65303,33,0
FINAL,2013,NOVEMBER/DECEMBER,RED PORGY,22409,46.6,0
FINAL,2014,JANUARY/FEBRUARY,RED PORGY,9253,95.3,0
FINAL,2014,MARCH/APRIL,RED PORGY,26486,61.8,0
FINAL,2014,MAY/JUNE,RED PORGY,94983,19.3,0
FINAL,2014,JULY/AUGUST,RED PORGY,125767,31.4,0
FINAL,2014,SEPTEMBER/OCTOBER,RED PORGY,9411,33.6,0
FINAL,2014,NOVEMBER/DECEMBER,RED PORGY,546,45.4,0
FINAL,2015,JANUARY/FEBRUARY,RED PORGY,237,59.5,0
FINAL,2015,MARCH/APRIL,RED PORGY,20074,41.3,0
FINAL,2015,MAY/JUNE,RED PORGY,90841,34.8,0
FINAL,2015,JULY/AUGUST,RED PORGY,97845,27.1,0
FINAL,2015,SEPTEMBER/OCTOBER,RED PORGY,53950,31.5,0
FINAL,2015,NOVEMBER/DECEMBER,RED PORGY,3791,47.6,0
FINAL,2016,JANUARY/FEBRUARY,RED PORGY,10560,49.8,0
FINAL,2016,MARCH/APRIL,RED PORGY,73156,62.5,0
FINAL,2016,MAY/JUNE,RED PORGY,78811,26.7,0
FINAL,2016,JULY/AUGUST,RED PORGY,146962,39.8,0
FINAL,2016,SEPTEMBER/OCTOBER,RED PORGY,30767,37.5,0
FINAL,2016,NOVEMBER/DECEMBER,RED PORGY,87314,61,0
FINAL,2017,JANUARY/FEBRUARY,RED PORGY,16695,76.1,0
FINAL,2017,MARCH/APRIL,RED PORGY,18446,59.1,0
FINAL,2017,MAY/JUNE,RED PORGY,62456,22,0
FINAL,2017,JULY/AUGUST,RED PORGY,54873,26.9,0
FINAL,2017,SEPTEMBER/OCTOBER,RED PORGY,51244,36,0
FINAL,2017,NOVEMBER/DECEMBER,RED PORGY,4587,53.4,0
FINAL,2018,JANUARY/FEBRUARY,RED PORGY,2351,52.1,0
FINAL,2018,MARCH/APRIL,RED PORGY,11805,28.4,0
FINAL,2018,MAY/JUNE,RED PORGY,42356,45.7,0
FINAL,2018,JULY/AUGUST,RED PORGY,200715,64.6,0
FINAL,2018,SEPTEMBER/OCTOBER,RED PORGY,4892,49.5,0
FINAL,2018,NOVEMBER/DECEMBER,RED PORGY,5399,95.8,0
FINAL,2019,JANUARY/FEBRUARY,RED PORGY,141,52,0
FINAL,2019,MARCH/APRIL,RED PORGY,21937,21,0
FINAL,2019,MAY/JUNE,RED PORGY,20663,31.4,0
FINAL,2019,JULY/AUGUST,RED PORGY,41719,41.7,0
FINAL,2019,SEPTEMBER/OCTOBER,RED PORGY,8114,33.7,0
FINAL,2019,NOVEMBER/DECEMBER,RED PORGY,6527,48.8,0
PRELIMINARY,2020,JANUARY/FEBRUARY,RED PORGY,5002,89.3,0
