year,F,F/FMSY,B,B/Bunfished,SSB,SSB/SSBMSY,SSB/MSST,SPR
1972,0.0519,0.288,4948,0.632,4089,1.418,1.818,0.778
1973,0.0623,0.346,4994,0.638,4125,1.43,1.834,0.743
1974,0.0609,0.338,4996,0.638,4130,1.432,1.836,0.752
1975,0.0747,0.415,4679,0.598,4003,1.388,1.78,0.715
1976,0.0827,0.459,4566,0.583,3825,1.327,1.701,0.693
1977,0.103,0.572,6190,0.791,4367,1.515,1.942,0.645
1978,0.1183,0.657,6249,0.798,4868,1.688,2.164,0.627
1979,0.1491,0.828,5711,0.73,4799,1.664,2.134,0.572
1980,0.1929,1.072,5353,0.684,4380,1.519,1.947,0.501
1981,0.2701,1.501,4814,0.615,3858,1.338,1.715,0.425
1982,0.3634,2.019,3954,0.505,3166,1.098,1.408,0.36
1983,0.3572,1.984,3313,0.423,2533,0.878,1.126,0.371
1984,0.4381,2.434,2947,0.377,2170,0.752,0.965,0.325
1985,0.4106,2.281,2628,0.336,1891,0.656,0.841,0.339
1986,0.4068,2.26,2425,0.31,1740,0.604,0.774,0.348
1987,0.4028,2.238,2236,0.286,1616,0.56,0.719,0.347
1988,0.5388,2.993,2442,0.312,1613,0.559,0.717,0.29
1989,0.5055,2.808,2353,0.301,1587,0.55,0.706,0.306
1990,0.5996,3.331,2230,0.285,1518,0.526,0.675,0.281
1991,0.4817,2.676,1980,0.253,1370,0.475,0.609,0.317
1992,0.4432,2.462,1726,0.221,1254,0.435,0.558,0.349
1993,0.3761,2.089,1551,0.198,1143,0.396,0.508,0.379
1994,0.3917,2.176,1502,0.192,1084,0.376,0.482,0.372
1995,0.3827,2.126,1619,0.207,1112,0.386,0.494,0.375
1996,0.3551,1.973,1504,0.192,1110,0.385,0.493,0.391
1997,0.3236,1.798,1416,0.181,1057,0.367,0.47,0.409
1998,0.2816,1.564,1400,0.179,1030,0.357,0.458,0.44
1999,0.2442,1.357,1325,0.169,1024,0.355,0.455,0.555
2000,0.0889,0.494,1223,0.156,1019,0.353,0.453,0.733
2001,0.2145,1.192,1318,0.168,1045,0.362,0.465,0.562
2002,0.2884,1.602,1455,0.186,1071,0.372,0.476,0.495
2003,0.2073,1.152,1452,0.186,1107,0.384,0.492,0.593
2004,0.2291,1.273,1515,0.194,1180,0.409,0.524,0.575
2005,0.1514,0.841,1611,0.206,1248,0.433,0.555,0.665
2006,0.1541,0.856,1804,0.231,1381,0.479,0.614,0.659
2007,0.2534,1.408,1837,0.235,1456,0.505,0.647,0.567
2008,0.2918,1.621,1688,0.216,1383,0.48,0.615,0.531
2009,0.1897,1.054,1593,0.204,1283,0.445,0.57,0.619
2010,0.1638,0.91,1756,0.224,1334,0.463,0.593,0.644
2011,0.2161,1.201,1928,0.246,1461,0.507,0.649,0.596
2012,0.1827,1.015,1898,0.242,1521,0.527,0.676,0.63
2013,0.1482,0.823,1743,0.223,1481,0.513,0.658,0.665
2014,0.1306,0.726,1636,0.209,1388,0.481,0.617,0.679
2015,0.1895,1.053,1487,0.19,1262,0.438,0.561,0.608
2016,0.5679,3.155,1346,0.172,1070,0.371,0.476,0.409
2017,0.2807,1.559,937,0.12,780,0.271,0.347,0.542
