year,F,F/MFMT,SSB,SSB/SSBSPR26%,SSB/MSSTOLD,SSB/MSSTNew,SSB/SSB0
1979,0.13,2.205,1.98E+14,0.16,0.18,0.32,0.04
1980,0.091,1.554,1.73E+14,0.14,0.15,0.28,0.04
1981,0.106,1.811,1.47E+14,0.12,0.13,0.24,0.03
1982,0.091,1.541,1.21E+14,0.1,0.11,0.2,0.03
1983,0.113,1.913,1.10E+14,0.09,0.1,0.18,0.02
1984,0.102,1.738,1.06E+14,0.09,0.09,0.17,0.02
1985,0.128,2.175,1.12E+14,0.09,0.1,0.18,0.02
1986,0.133,2.255,1.18E+14,0.1,0.11,0.19,0.02
1987,0.119,2.023,1.17E+14,0.1,0.1,0.19,0.02
1988,0.139,2.369,1.13E+14,0.09,0.1,0.18,0.02
1989,0.122,2.076,1.02E+14,0.08,0.09,0.17,0.02
1990,0.095,1.61,9.53E+13,0.08,0.09,0.16,0.02
1991,0.122,2.074,9.88E+13,0.08,0.09,0.16,0.02
1992,0.123,2.096,1.09E+14,0.09,0.1,0.18,0.02
1993,0.136,2.305,1.21E+14,0.1,0.11,0.2,0.03
1994,0.118,2.006,1.29E+14,0.1,0.12,0.21,0.03
1995,0.095,1.614,1.38E+14,0.11,0.12,0.22,0.03
1996,0.084,1.436,1.47E+14,0.12,0.13,0.24,0.03
1997,0.111,1.882,1.55E+14,0.13,0.14,0.25,0.03
1998,0.103,1.746,1.60E+14,0.13,0.14,0.26,0.03
1999,0.098,1.66,1.73E+14,0.14,0.15,0.28,0.04
2000,0.086,1.467,1.85E+14,0.15,0.17,0.3,0.04
2001,0.088,1.489,1.92E+14,0.16,0.17,0.31,0.04
2002,0.119,2.027,1.94E+14,0.16,0.17,0.32,0.04
2003,0.104,1.769,1.93E+14,0.16,0.17,0.31,0.04
2004,0.102,1.728,1.98E+14,0.16,0.18,0.32,0.04
2005,0.07,1.193,1.95E+14,0.16,0.17,0.32,0.04
2006,0.052,0.884,2.05E+14,0.17,0.18,0.33,0.04
2007,0.04,0.676,2.22E+14,0.18,0.2,0.36,0.05
2008,0.029,0.493,2.51E+14,0.2,0.22,0.41,0.05
2009,0.045,0.774,3.11E+14,0.25,0.28,0.51,0.07
2010,0.037,0.627,3.94E+14,0.32,0.35,0.64,0.08
2011,0.053,0.908,5.05E+14,0.41,0.45,0.82,0.11
2012,0.045,0.768,5.78E+14,0.47,0.52,0.94,0.12
2013,0.041,0.69,6.57E+14,0.53,0.59,1.07,0.14
2014,0.041,0.699,7.19E+14,0.58,0.64,1.17,0.15
2015,0.052,0.892,7.96E+14,0.65,0.71,1.29,0.17
2016,0.052,0.877,8.67E+14,0.7,0.77,1.41,0.18
